region_id,concept_id,stock,capacity,production_rate,demand_rate,access,dependency,labor_dependence,project_kind
城市区域ID,资源概念ID,当前库存,库存容量,每月本地产量,每月需求量,可及性,外部依赖,集体劳动依赖度,建设项目类型
301,grain,39,78,13,13,0.80,0.40,1.0,
301,timber,300,500,20,0,0.90,0.35,1.0,settlement_capacity_expansion
301,spirit_stone,40,80,1,0,0.75,0.45,0.0,
302,grain,10.5,21,3.5,3.5,0.80,0.40,1.0,
302,stone,100,180,6,0,0.65,0.75,1.0,settlement_capacity_expansion
303,grain,17.25,34.5,5.75,5.75,0.80,0.40,1.0,
303,timber,150,260,12,0,0.95,0.15,1.0,settlement_capacity_expansion
304,grain,27,54,9,9,0.80,0.40,1.0,
304,timber,220,360,16,0,0.85,0.45,1.0,settlement_capacity_expansion
305,grain,8.25,16.5,2.75,2.75,0.80,0.40,1.0,
305,stone,90,160,5,0,0.90,0.20,1.0,settlement_capacity_expansion
