region_id,capability_id,demand_per_population
城市区域ID,服务能力概念ID,每单位人口需求
301,housing,1.0
301,clean_water,1.0
301,sanitation,1.0
301,security,1.0
301,healing,1.0
302,housing,1.0
302,clean_water,1.0
302,sanitation,1.0
302,security,1.0
302,healing,1.0
303,housing,1.0
303,clean_water,1.0
303,sanitation,1.0
303,security,1.0
303,healing,1.0
304,housing,1.0
304,clean_water,1.0
304,sanitation,1.0
304,security,1.0
304,healing,1.0
305,housing,1.0
305,clean_water,1.0
305,sanitation,1.0
305,security,1.0
305,healing,1.0
